Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Bekkiler;26.09.2023;BNF2023000000557;AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;2000,00;400,00;0,00;2400,00;0,00;0,00;0,00
Bekkiler;28.02.2023;01S2023000153519;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;800,00;144,00;0,00;944,00;0,00;0,00;0,00
Bekkiler;30.03.2023;01S2023000307068;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;800,00;144,00;0,00;944,00;0,00;0,00;0,00
Bekkiler;31.05.2023;01S2023000573579;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;800,00;144,00;0,00;944,00;0,00;0,00;0,00
Bekkiler;30.06.2023;01S2023000623188;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;800,00;144,00;0,00;944,00;0,00;0,00;0,00
Beksan;31.07.2023;01S2023000823645;MPLSVPN HİZMETLERİ (%20 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;616,57;123,31;61,66;801,54;0,00;0,00;0,00
Beksan;31.12.2021;01S2021000757592;MPLSVPN HİZMETLERİ (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;609,45;109,70;60,95;780,10;0,00;0,00;0,00
Beksan;30.09.2023;A162023054115740;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;324,04;64,81;32,40;421,25;0,00;0,00;0,00
Beksan;31.07.2023;01S2023000823645;UZAKTAN YEDEKLEME (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;619,17;123,83;0,00;743,00;0,00;0,00;0,00
Bekkiler;31.07.2023;01S2023000717211;DATA SERVİSLERİ (%20 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;532,26;106,45;53,23;691,94;0,00;0,00;0,00
Bekkiler;31.07.2023;01S2023000717211;UZAKTAN YEDEKLEME (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;567,74;113,55;0,00;681,29;0,00;0,00;0,00
